id	parentID	kingdom	phylum	class	order	family	scientificName	rank	status
2161		Plantae	Tracheophyta	Spermatopsida	Asterales	Asteraceae	Helianthus tuberosus	species	accepted
3371		Plantae	Tracheophyta	Spermatopsida	Solanales	Solanaceae	Solanum tuberosum	species	accepted
1090		Plantae	Tracheophyta	Spermatopsida	Liliales	Liliaceae	Allium cepa	species	accepted
1093		Plantae	Tracheophyta	Spermatopsida	Liliales	Liliaceae	Allium porrum	species	accepted
1094		Plantae	Tracheophyta	Spermatopsida	Liliales	Liliaceae	Allium sativum	species	accepted
1291		Plantae	Tracheophyta	Spermatopsida	Caryophyllales	Amaranthaceae	Atriplex hortensis	species	accepted
1338		Plantae	Tracheophyta	Spermatopsida	Caryophyllales	Amaranthaceae	Beta vulgaris	species	accepted
1362		Plantae	Tracheophyta	Spermatopsida	Brassicales	Brassicaceae	Brassica	genus	accepted
1366		Plantae	Tracheophyta	Spermatopsida	Brassicales	Brassicaceae	Brassica oleracea	species	accepted
1629		Plantae	Tracheophyta	Spermatopsida	Asterales	Asteraceae	Cichorium endivia	species	accepted
1769		Plantae	Tracheophyta	Spermatopsida	Cucurbitales	Cucurbitaceae	Cucumis sativus	species	accepted
1770		Plantae	Tracheophyta	Spermatopsida	Cucurbitales	Cucurbitaceae	Cucurbita	genus	accepted
1772		Plantae	Tracheophyta	Spermatopsida	Cucurbitales	Cucurbitaceae	Cucurbitaceae	family	accepted
1814		Plantae	Tracheophyta	Spermatopsida	Apiales	Apiaceae	Daucus carota	species	accepted
2409		Plantae	Tracheophyta	Spermatopsida	Brassicales	Brassicaceae	Lepidium sativum	species	accepted
2784		Plantae	Tracheophyta	Spermatopsida	Apiales	Apiaceae	Pastinaca	genus	accepted
2813		Plantae	Tracheophyta	Spermatopsida	Poales	Poaceae	Phalaris canariensis	species	accepted
2814		Plantae	Tracheophyta	Spermatopsida	Fabales	Fabaceae	Phaseolus	genus	accepted
2815		Plantae	Tracheophyta	Spermatopsida	Fabales	Fabaceae	Phaseolus coccineus	species	accepted
2945		Plantae	Tracheophyta	Spermatopsida	Caryophyllales	Portulacaceae	Portulaca	genus	accepted
3096		Plantae	Tracheophyta	Spermatopsida	Caryophyllales	Polygonaceae	Rheum	genus	accepted
3191		Plantae	Tracheophyta	Spermatopsida	Caryophyllales	Amaranthaceae	Salicornia europaea s.s.	pending	accepted
3192		Plantae	Tracheophyta	Spermatopsida	Caryophyllales	Amaranthaceae	Salicornia procumbens	species	accepted
3271		Plantae	Tracheophyta	Spermatopsida	Asterales	Asteraceae	Scorzonera	genus	accepted
3272		Plantae	Tracheophyta	Spermatopsida	Asterales	Asteraceae	Scorzonera hispanica	species	accepted
3273		Plantae	Tracheophyta	Spermatopsida	Asterales	Asteraceae	Scorzonera humilis	species	accepted
3367		Plantae	Tracheophyta	Spermatopsida	Solanales	Solanaceae	Solanum melongena	species	accepted
3412		Plantae	Tracheophyta	Spermatopsida	Caryophyllales	Amaranthaceae	Spinacia oleracea	species	accepted
3626		Plantae	Tracheophyta	Spermatopsida	Dipsacales	Caprifoliaceae	Valerianella locusta	species	accepted
3784		Plantae	Tracheophyta	Spermatopsida	Caryophyllales	Amaranthaceae	Beta vulgaris subsp. vulgaris	subspecies	accepted
3841		Plantae	Tracheophyta	Spermatopsida	Brassicales	Brassicaceae	Cochlearia officinalis subsp. officinalis	subspecies	accepted
3852		Plantae	Tracheophyta	Spermatopsida	Apiales	Apiaceae	Daucus carota subsp. sativus	subspecies	accepted
3962		Plantae	Tracheophyta	Spermatopsida	Solanales	Solanaceae	Solanum lycopersicum	species	accepted
4046		Plantae	Tracheophyta	Spermatopsida	Caryophyllales	Portulacaceae	Portulaca oleracea subsp. oleracea	subspecies	accepted
4081		Plantae	Tracheophyta	Spermatopsida	Caryophyllales	Polygonaceae	Rheum rhabarbarum x rhaponticum	species	accepted
4095		Plantae	Tracheophyta	Spermatopsida	Caryophyllales	Amaranthaceae	Salicornia pusilla	species	accepted
4096		Plantae	Tracheophyta	Spermatopsida	Caryophyllales	Amaranthaceae	Salicornia europaea s.l.	pending	accepted
3127		Plantae	Tracheophyta	Spermatopsida	Rosales	Rosaceae	Rosa	genus	accepted
